date,revenue,purchases,total_views,unique_streams,unique_invoices
1564617600000000000,202.42000000000002,62,411,,
1564704000000000000,511.63999999999953,147,680,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1564963200000000000,203.90999999999994,59,389,,
0,0.0,0,0,0.0,0.0
1565136000000000000,1201.1999999999991,22,235,,
1565222400000000000,116.28000000000002,37,414,,
1565308800000000000,241.72,76,704,,
0,0.0,0,0,0.0,0.0
1565481600000000000,434.51,1,0,,
1565568000000000000,89.32000000000002,31,313,,
1565654400000000000,26.740000000000002,4,8,,
1565740800000000000,294.93999999999994,71,612,,
1565827200000000000,88.37000000000002,19,49,,
1565913600000000000,127.50000000000001,49,426,,
0,0.0,0,0,0.0,0.0
1566086400000000000,115.71000000000001,16,123,,
0,0.0,0,0,0.0,0.0
1566259200000000000,128.87,40,394,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1566518400000000000,291.68,70,577,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1566864000000000000,23.08,8,19,,
0,0.0,0,0,0.0,0.0
1567036800000000000,71.60999999999999,21,293,,
1567123200000000000,130.78000000000003,26,163,,
0,0.0,0,0,0.0,0.0
1567296000000000000,7.509999999999999,6,81,,
1567382400000000000,158.11999999999998,57,710,,
1567468800000000000,285.49999999999994,63,666,,
1567555200000000000,646.22,188,1576,,
1567641600000000000,383.41999999999996,106,858,,
1567728000000000000,39.3,6,18,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1568160000000000000,154.30999999999997,54,428,,
1568246400000000000,173.49999999999994,27,250,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1568592000000000000,125.30000000000003,25,150,,
1568678400000000000,309.1499999999997,105,833,,
1568764800000000000,237.79999999999998,11,85,,
1568851200000000000,238.76999999999992,72,563,,
1568937600000000000,737.2000000000002,187,1270,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1569196800000000000,275.60999999999996,59,469,,
1569283200000000000,70.95,19,200,,
1569369600000000000,538.2899999999998,120,898,,
0,0.0,0,0,0.0,0.0
1569542400000000000,263.8499999999998,63,576,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1570060800000000000,125.48,24,194,,
1570147200000000000,225.0999999999999,51,366,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1570406400000000000,296.67999999999995,83,590,,
1570492800000000000,174.20999999999998,85,841,,
1570579200000000000,690.47,151,1000,,
0,0.0,0,0,0.0,0.0
1570752000000000000,75.47,19,166,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1571011200000000000,577.6500000000002,140,1117,,
1571097600000000000,193.96000000000004,51,414,,
1571184000000000000,205.68999999999994,58,495,,
1571270400000000000,323.90999999999985,136,1376,,
1571356800000000000,188.1999999999999,53,398,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1571616000000000000,109.86,17,132,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1571875200000000000,19.45,3,5,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1572134400000000000,115.5,21,159,,
1572220800000000000,145.93,37,285,,
1572307200000000000,334.96999999999974,95,756,,
1572393600000000000,16.75,2,7,,
0,0.0,0,0,0.0,0.0
1572566400000000000,4.89,2,3,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1572825600000000000,281.7199999999999,36,320,,
1572912000000000000,20.189999999999998,7,11,,
1572998400000000000,51.15,22,219,,
1573084800000000000,208.6699999999999,48,339,,
1573171200000000000,329.0599999999998,84,905,,
0,0.0,0,0,0.0,0.0
1573344000000000000,441.7899999999996,133,1268,,
1573430400000000000,114.19000000000001,23,177,,
1573516800000000000,388.63,73,634,,
1573603200000000000,229.15000000000006,48,513,,
1573689600000000000,310.52999999999986,77,568,,
1573776000000000000,230.84999999999994,55,293,,
0,0.0,0,0,0.0,0.0
1573948800000000000,150.85999999999999,41,353,,
1574035200000000000,139.41999999999996,51,452,,
1574121600000000000,328.06999999999994,91,760,,
1574208000000000000,92.67,12,70,,
1574294400000000000,82.43,10,67,,
1574380800000000000,71.52,6,48,,
0,0.0,0,0,0.0,0.0
1574553600000000000,88.58,22,208,,
1574640000000000000,346.51000000000005,102,875,,
0,0.0,0,0,0.0,0.0
1574812800000000000,345.9499999999999,58,408,,
1574899200000000000,296.28,50,376,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1575158400000000000,49.62,30,317,,
1575244800000000000,111.80000000000001,17,158,,
0,0.0,0,0,0.0,0.0
1575417600000000000,538.6899999999995,166,1515,,
1575504000000000000,218.65999999999997,72,637,,
