date,revenue,purchases,total_views,unique_streams,unique_invoices
1564617600000000000,92.83999999999999,34,281,,
1564704000000000000,101.23999999999997,35,327,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1565136000000000000,21.1,14,136,,
0,0.0,0,0,0.0,0.0
1565308800000000000,98.69000000000001,27,159,,
0,0.0,0,0,0.0,0.0
1565481600000000000,29.7,2,3,,
1565568000000000000,157.07999999999998,37,308,,
0,0.0,0,0,0.0,0.0
1565740800000000000,53.78000000000001,29,303,,
1565827200000000000,149.57,46,385,,
1565913600000000000,76.32000000000002,35,376,,
0,0.0,0,0,0.0,0.0
1566086400000000000,115.96000000000001,30,245,,
0,0.0,0,0,0.0,0.0
1566259200000000000,129.04000000000008,44,377,,
1566345600000000000,90.36,23,172,,
1566432000000000000,311.05999999999983,122,1195,,
1566518400000000000,109.86999999999998,48,483,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1566950400000000000,245.5600000000001,32,316,,
0,0.0,0,0,0.0,0.0
1567123200000000000,126.30000000000005,37,359,,
0,0.0,0,0,0.0,0.0
1567296000000000000,151.17,50,400,,
1567382400000000000,158.98,37,271,,
0,0.0,0,0,0.0,0.0
1567555200000000000,321.7199999999997,135,1299,,
1567641600000000000,218.2699999999998,87,742,,
1567728000000000000,292.8699999999998,105,952,,
0,0.0,0,0,0.0,0.0
1567900800000000000,34.99,7,43,,
0,0.0,0,0,0.0,0.0
1568073600000000000,19.06,2,1,,
1568160000000000000,35.040000000000006,21,222,,
1568246400000000000,208.70999999999998,50,506,,
1568332800000000000,4.25,1,0,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1568592000000000000,434.07,108,757,,
1568678400000000000,58.78000000000001,24,198,,
1568764800000000000,168.82000000000002,60,495,,
1568851200000000000,307.05,78,604,,
1568937600000000000,99.88000000000001,38,321,,
0,0.0,0,0,0.0,0.0
1569110400000000000,164.64999999999995,35,221,,
1569196800000000000,5.0,2,1,,
1569283200000000000,64.1,13,70,,
1569369600000000000,100.98,29,219,,
1569456000000000000,232.42999999999984,79,709,,
1569542400000000000,186.5999999999999,57,632,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1569801600000000000,192.27000000000007,77,158,,
1569888000000000000,70.24,15,115,,
1569974400000000000,447.71999999999963,143,1032,,
1570060800000000000,62.3,10,30,,
1570147200000000000,88.44000000000001,38,363,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1570406400000000000,86.44,25,203,,
1570492800000000000,756.1600000000007,262,2220,,
1570579200000000000,184.21000000000004,52,453,,
1570665600000000000,48.68,12,99,,
1570752000000000000,108.77999999999999,29,223,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1571011200000000000,1.06,1,2,,
1571097600000000000,2.12,2,5,,
1571184000000000000,150.91000000000003,35,291,,
1571270400000000000,107.73999999999998,39,420,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1571875200000000000,12701.820000000005,53,354,,
1571961600000000000,257.25999999999993,63,780,,
0,0.0,0,0,0.0,0.0
1572134400000000000,44.61,15,153,,
1572220800000000000,46.18999999999998,27,241,,
1572307200000000000,251.81999999999994,72,558,,
1572393600000000000,80.48,22,203,,
1572480000000000000,238.81999999999988,87,747,,
1572566400000000000,156.55,81,329,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1572825600000000000,88.75000000000001,31,161,,
1572912000000000000,163.84000000000003,60,532,,
1572998400000000000,183.62,54,474,,
1573084800000000000,388.0399999999996,161,985,,
1573171200000000000,325.48999999999984,117,1012,,
0,0.0,0,0,0.0,0.0
1573344000000000000,34.260000000000005,17,69,,
1573430400000000000,235.94000000000003,80,757,,
1573516800000000000,150.71000000000004,39,400,,
1573603200000000000,101.81000000000002,24,283,,
1573689600000000000,497.50999999999965,150,1207,,
1573776000000000000,167.77,44,384,,
0,0.0,0,0,0.0,0.0
1573948800000000000,172.22,39,268,,
1574035200000000000,35.38999999999999,16,173,,
1574121600000000000,179.62,41,294,,
1574208000000000000,76.09,28,173,,
1574294400000000000,532.5499999999998,140,744,,
1574380800000000000,158.45000000000002,56,529,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1574640000000000000,195.45999999999995,41,283,,
1574726400000000000,132.69000000000003,37,310,,
1574812800000000000,440.1999999999996,143,1324,,
1574899200000000000,102.43,32,315,,
1574985600000000000,228.76999999999998,78,654,,
0,0.0,0,0,0.0,0.0
1575158400000000000,186.4599999999999,55,465,,
1575244800000000000,106.73000000000003,35,322,,
1575331200000000000,268.47999999999996,79,621,,
1575417600000000000,136.98000000000002,39,387,,
1575504000000000000,52.9,6,26,,
1575590400000000000,44.5,15,105,,
