date,revenue,purchases,total_views,unique_streams,unique_invoices
1564617600000000000,210.34999999999994,56,478,,
1564704000000000000,159.12999999999997,56,462,,
0,0.0,0,0,0.0,0.0
1564876800000000000,12.26,6,60,,
1564963200000000000,56.209999999999994,19,176,,
1565049600000000000,29.439999999999998,5,35,,
0,0.0,0,0,0.0,0.0
1565222400000000000,9.95,1,2,,
1565308800000000000,12.950000000000001,4,10,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1565568000000000000,29.64,11,106,,
1565654400000000000,35.300000000000004,5,22,,
1565740800000000000,151.97999999999996,39,331,,
0,0.0,0,0,0.0,0.0
1565913600000000000,128.74,34,283,,
0,0.0,0,0,0.0,0.0
1566086400000000000,51.170000000000016,18,175,,
1566172800000000000,226.32999999999996,79,706,,
1566259200000000000,102.07000000000001,37,311,,
1566345600000000000,278.9,90,839,,
1566432000000000000,74.62,15,78,,
1566518400000000000,92.75,29,214,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1566864000000000000,126.23,21,133,,
1566950400000000000,552.86,146,1238,,
1567036800000000000,10.6,2,3,,
1567123200000000000,94.20000000000002,34,244,,
0,0.0,0,0,0.0,0.0
1567296000000000000,349.80999999999966,133,1047,,
1567382400000000000,15.640000000000002,4,11,,
1567468800000000000,188.50999999999993,55,478,,
0,0.0,0,0,0.0,0.0
1567641600000000000,142.64000000000001,39,429,,
1567728000000000000,29.809999999999995,8,20,,
0,0.0,0,0,0.0,0.0
1567900800000000000,319.2699999999999,95,758,,
0,0.0,0,0,0.0,0.0
1568073600000000000,24.4,7,66,,
1568160000000000000,74.17000000000002,19,172,,
0,0.0,0,0,0.0,0.0
1568332800000000000,177.78000000000003,42,371,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1568592000000000000,148.57000000000002,43,354,,
1568678400000000000,17.3,10,88,,
1568764800000000000,166.95999999999995,63,584,,
1568851200000000000,121.46000000000002,28,236,,
1568937600000000000,264.0299999999999,97,905,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1569196800000000000,84.34000000000003,19,174,,
1569283200000000000,71.44000000000001,25,191,,
1569369600000000000,101.05,22,145,,
1569456000000000000,124.27,45,400,,
1569542400000000000,56.72000000000001,17,132,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1569888000000000000,4.970000000000001,2,5,,
1569974400000000000,535.31,106,1067,,
1570060800000000000,632.7400000000006,190,1700,,
1570147200000000000,327.8,92,832,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1570406400000000000,68.67999999999999,18,120,,
1570492800000000000,175.47,50,453,,
1570579200000000000,191.0099999999999,63,594,,
1570665600000000000,314.3599999999999,102,858,,
1570752000000000000,1446.9700000000003,55,474,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1571011200000000000,458.27999999999946,200,1953,,
1571097600000000000,218.2,62,565,,
1571184000000000000,373.04000000000013,129,1106,,
1571270400000000000,185.88999999999996,61,522,,
1571356800000000000,118.45000000000003,21,138,,
0,0.0,0,0,0.0,0.0
1571529600000000000,15.7,2,4,,
1571616000000000000,11.8,3,6,,
1571702400000000000,139.33999999999995,34,329,,
1571788800000000000,68.32,7,24,,
1571875200000000000,115.43000000000005,31,245,,
1571961600000000000,191.82,51,465,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1572220800000000000,169.17000000000002,43,320,,
0,0.0,0,0,0.0,0.0
1572393600000000000,64.28,12,68,,
1572480000000000000,106.95000000000003,34,310,,
1572566400000000000,14.15,2,5,,
0,0.0,0,0,0.0,0.0
1572739200000000000,121.24999999999999,39,366,,
1572825600000000000,95.73000000000002,26,227,,
1572912000000000000,74.43,23,45,,
1572998400000000000,50.1,7,64,,
1573084800000000000,2134.8000000000006,26,167,,
1573171200000000000,543.2899999999997,181,1184,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1573430400000000000,119.30000000000003,25,154,,
1573516800000000000,132.88000000000005,50,494,,
1573603200000000000,485.1299999999995,144,1240,,
1573689600000000000,429.83999999999986,103,1015,,
1573776000000000000,128.18,22,135,,
0,0.0,0,0,0.0,0.0
1573948800000000000,65.30000000000001,12,53,,
1574035200000000000,219.61999999999995,44,264,,
1574121600000000000,207.61999999999998,62,454,,
1574208000000000000,112.02000000000002,45,264,,
1574294400000000000,540.6399999999992,136,1082,,
1574380800000000000,64.76,17,45,119.0,5.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1574640000000000000,227.55999999999992,70,598,119.0,5.0
1574726400000000000,172.52999999999997,52,513,119.0,5.0
1574812800000000000,84.30000000000001,16,122,119.0,5.0
1574899200000000000,150.12999999999997,34,213,119.0,5.0
1574985600000000000,50.870000000000005,9,20,119.0,5.0
0,0.0,0,0,0.0,0.0
1575158400000000000,185.05,51,419,119.0,5.0
1575244800000000000,89.45,19,128,119.0,5.0
1575331200000000000,4.15,3,8,119.0,5.0
1575417600000000000,460.3299999999999,72,615,119.0,5.0
1575504000000000000,192.3299999999999,70,630,119.0,5.0
1575590400000000000,279.0599999999999,82,745,119.0,5.0
