date,revenue,purchases,total_views,unique_streams,unique_invoices
1565568000000000000,51.559999999999995,41,511,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1567123200000000000,39.59,20,190,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1568851200000000000,92.32000000000001,36,321,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1569110400000000000,59.85000000000001,18,160,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1570060800000000000,445.96999999999923,223,941,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1570492800000000000,203.53999999999994,55,478,,
0,0.0,0,0,0.0,0.0
1570665600000000000,132.00000000000003,61,584,,
1570752000000000000,196.51,34,189,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1571011200000000000,1297.96,29,274,,
0,0.0,0,0,0.0,0.0
1571184000000000000,59.9,2,5,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1571702400000000000,107.68000000000004,39,136,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1572480000000000000,41.29,12,80,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1572825600000000000,64.70000000000002,13,80,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1573171200000000000,14.610000000000001,7,45,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1573430400000000000,83.02000000000002,22,213,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1573689600000000000,23.7,2,5,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1574035200000000000,107.73000000000002,14,68,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1574294400000000000,198.1900000000001,74,416,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1574812800000000000,28.0,1,2,,
0,0.0,0,0,0.0,0.0
1574985600000000000,107.41999999999997,48,568,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1575244800000000000,62.92,14,113,,
1575331200000000000,92.53000000000002,22,199,,
1575417600000000000,86.18,18,135,,
