date,revenue,purchases,total_views,unique_streams,unique_invoices
1564617600000000000,249.82999999999993,36,170,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1565654400000000000,129.37000000000003,46,82,,
1565740800000000000,44.510000000000005,11,138,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1566086400000000000,25.599999999999998,4,7,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1566345600000000000,63.36000000000001,18,215,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1566691200000000000,304.2799999999999,122,632,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1566950400000000000,84.08,17,55,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1567382400000000000,252.12999999999988,39,181,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1567641600000000000,130.00000000000003,23,166,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1568592000000000000,111.60000000000005,36,409,,
1568678400000000000,25.5,2,4,,
1568764800000000000,176.1499999999999,57,492,,
0,0.0,0,0,0.0,0.0
1568937600000000000,172.74999999999991,52,467,,
0,0.0,0,0,0.0,0.0
1569110400000000000,85.94,16,106,,
0,0.0,0,0,0.0,0.0
1569283200000000000,43.8,19,218,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1569801600000000000,9.95,1,3,,
1569888000000000000,1.25,1,3,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1570147200000000000,123.07999999999998,22,131,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1570752000000000000,109.23,15,200,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1571011200000000000,109.23000000000002,15,42,,
1571097600000000000,98.77000000000001,41,453,,
1571184000000000000,55.57,12,113,,
1571270400000000000,141.39999999999998,54,182,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1571616000000000000,90.99000000000001,24,158,,
0,0.0,0,0,0.0,0.0
1571788800000000000,130.94,22,194,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1572134400000000000,377.7499999999999,116,1048,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1572480000000000000,78.02000000000001,19,136,,
1572566400000000000,213.48999999999984,63,285,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1572825600000000000,68.44,9,21,,
1572912000000000000,104.39999999999999,24,195,,
0,0.0,0,0,0.0,0.0
1573084800000000000,168.89999999999998,46,382,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1573689600000000000,172.95,47,398,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1573948800000000000,157.84999999999997,39,368,,
1574035200000000000,106.82000000000001,22,181,,
0,0.0,0,0,0.0,0.0
1574208000000000000,12.7,4,60,,
1574294400000000000,48.34,9,65,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1574726400000000000,69.03,31,117,,
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
0,0.0,0,0,0.0,0.0
1575331200000000000,40.08,12,154,,
1575417600000000000,110.40000000000005,59,106,,
