date,revenue,purchases,total_views,unique_streams,unique_invoices
1564617600000000000,5496.379999999957,1606,10580,738.0,46.0
1564704000000000000,3631.149999999986,1163,5928,738.0,46.0
0,0.0,0,0,0.0,0.0
1564876800000000000,1298.490000000003,535,3172,738.0,46.0
1564963200000000000,7920.309999999995,1347,6748,738.0,46.0
1565049600000000000,3999.969999999985,1005,5615,738.0,46.0
1565136000000000000,4821.3499999999985,1273,6268,738.0,46.0
1565222400000000000,13649.680000000015,1771,10761,738.0,46.0
1565308800000000000,-7602.190000000039,924,4978,738.0,46.0
0,0.0,0,0,0.0,0.0
1565481600000000000,1679.3000000000043,553,2166,738.0,46.0
1565568000000000000,2240.37,761,4853,738.0,46.0
1565654400000000000,2780.790000000002,970,7160,738.0,46.0
1565740800000000000,7854.879999999978,1515,8703,738.0,46.0
1565827200000000000,3282.5899999999865,1204,8426,738.0,46.0
1565913600000000000,1558.340000000005,593,4707,738.0,46.0
0,0.0,0,0,0.0,0.0
1566086400000000000,3010.699999999995,998,4401,738.0,46.0
1566172800000000000,3156.889999999989,1160,8499,738.0,46.0
1566259200000000000,3030.379999999998,1150,6951,738.0,46.0
1566345600000000000,18001.820000000058,1745,10212,738.0,46.0
1566432000000000000,4779.459999999971,1122,7386,738.0,46.0
1566518400000000000,1894.980000000005,716,5729,738.0,46.0
0,0.0,0,0,0.0,0.0
1566691200000000000,2535.150000000003,1078,4366,738.0,46.0
0,0.0,0,0,0.0,0.0
1566864000000000000,15480.069999999676,3202,8388,738.0,46.0
1566950400000000000,5190.599999999992,1091,4963,738.0,46.0
1567036800000000000,3245.6499999999896,1320,9887,738.0,46.0
1567123200000000000,10167.60999999993,2150,8323,738.0,46.0
0,0.0,0,0,0.0,0.0
1567296000000000000,3179.9599999999846,1154,5941,738.0,46.0
1567382400000000000,3819.8999999999787,1412,8728,738.0,46.0
1567468800000000000,2942.8099999999895,1021,7092,738.0,46.0
1567555200000000000,9115.749999999953,1789,7403,738.0,46.0
1567641600000000000,4502.679999999993,1472,7361,738.0,46.0
1567728000000000000,4958.609999999983,1327,7499,738.0,46.0
0,0.0,0,0,0.0,0.0
1567900800000000000,5537.189999999971,1930,11138,738.0,46.0
1567987200000000000,5365.919999999976,1702,11077,738.0,46.0
1568073600000000000,8493.339999999987,2351,13184,738.0,46.0
1568160000000000000,3866.6899999999737,1244,6756,738.0,46.0
1568246400000000000,24974.11000000013,2099,12592,738.0,46.0
1568332800000000000,6959.719999999988,1398,9476,738.0,46.0
0,0.0,0,0,0.0,0.0
1568505600000000000,3659.5199999999786,1274,5728,738.0,46.0
1568592000000000000,2695.879999999994,996,6768,738.0,46.0
1568678400000000000,6500.869999999976,1544,9155,738.0,46.0
1568764800000000000,13403.089999999962,2881,11395,738.0,46.0
1568851200000000000,7079.059999999928,2423,16195,738.0,46.0
1568937600000000000,8423.149999999989,2268,11340,738.0,46.0
0,0.0,0,0,0.0,0.0
1569110400000000000,5219.240999999971,1893,11667,738.0,46.0
1569196800000000000,5599.710999999988,1441,8866,738.0,46.0
1569283200000000000,6573.449999999972,1821,11040,738.0,46.0
1569369600000000000,7829.329999999973,2528,12230,738.0,46.0
1569456000000000000,6699.429999999941,2352,16168,738.0,46.0
1569542400000000000,6476.789999999959,1743,10329,738.0,46.0
0,0.0,0,0,0.0,0.0
1569715200000000000,3742.429999999989,1429,5354,738.0,46.0
1569801600000000000,12472.780000000033,2215,12386,738.0,46.0
1569888000000000000,9879.140000000052,2723,13540,738.0,46.0
1569974400000000000,5760.149999999967,1931,11666,738.0,46.0
1570060800000000000,8451.849999999919,2681,15269,738.0,46.0
1570147200000000000,12425.41000000007,2167,11808,738.0,46.0
0,0.0,0,0,0.0,0.0
1570320000000000000,3418.619999999982,1292,5026,738.0,46.0
1570406400000000000,13815.200000000088,2988,13683,738.0,46.0
1570492800000000000,6548.079999999966,1925,11079,738.0,46.0
1570579200000000000,5859.309999999993,1749,9549,738.0,46.0
1570665600000000000,6923.149999999961,1924,9245,738.0,46.0
